timestamp_us,t_rel_s,lat,lon,alt_m,x_m,y_m,dist_target_m,reached_target,injected_bx_rad_s,injected_by_rad_s,injected_bz_rad_s,ekf_bx_rad_s,ekf_by_rad_s,ekf_bz_rad_s,failsafe_active,angular_velocity_invalid,position_sample,injected_bias_sample,ekf_bias_sample,vehicle_status_sample,failsafe_flags_sample
1764836922876000,-10.000000,47.40026220,8.54675020,523.536011,109.8802,190.3428,219.7809,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,0,0,0,0,0
1764836922956000,-9.920000,47.40026210,8.54675000,523.817993,109.8651,190.3316,219.7637,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,1,0,0,0,0
1764836923028000,-9.848000,47.40026210,8.54675000,523.817993,109.8651,190.3316,219.7637,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,0,0,0,0,1
1764836923060000,-9.816000,47.40026210,8.54674990,524.129028,109.8576,190.3316,219.7599,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,1,0,0,0,0
1764836923136000,-9.740000,47.40026210,8.54674990,524.129028,109.8576,190.3316,219.7599,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,0,0,0,1,0
1764836923156000,-9.720000,47.40026200,8.54674980,524.418030,109.8501,190.3205,219.7466,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,1,0,0,0,0
1764836923260000,-9.616000,47.40026200,8.54674990,524.726013,109.8576,190.3205,219.7503,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,1,0,0,0,0
1764836923356000,-9.520000,47.40026200,8.54674980,525.015015,109.8501,190.3205,219.7466,0,0.000000,0.000000,0.000000,0.000545,-0.000415,-0.000272,0,0,1,0,0,0,0
1764836923372000,-9.504000,47.40026200,8.54674980,525.015015,109.8501,190.3205,219.7466,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,0,0,1,0,0
1764836923460000,-9.416000,47.40026190,8.54675000,525.335022,109.8651,190.3094,219.7444,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,1,0,0,0,0
1764836923556000,-9.320000,47.40026190,8.54675000,525.599976,109.8651,190.3094,219.7444,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,1,0,0,0,0
1764836923568000,-9.308000,47.40026190,8.54675000,525.599976,109.8651,190.3094,219.7444,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,0,0,0,0,1
1764836923640000,-9.236000,47.40026190,8.54675000,525.599976,109.8651,190.3094,219.7444,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,0,0,0,1,0
1764836923660000,-9.216000,47.40026200,8.54674980,525.916992,109.8501,190.3205,219.7466,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,1,0,0,0,0
1764836923756000,-9.120000,47.40026200,8.54674960,526.210022,109.8350,190.3205,219.7390,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,1,0,0,0,0
1764836923860000,-9.016000,47.40026200,8.54674960,526.520996,109.8350,190.3205,219.7390,0,0.000000,0.000000,0.000000,0.000559,-0.000413,-0.000274,0,0,1,0,0,0,0
