timestamp_us,t_rel_s,lat,lon,alt_m,x_m,y_m,dist_target_m,reached_target,injected_bx_rad_s,injected_by_rad_s,injected_bz_rad_s,ekf_bx_rad_s,ekf_by_rad_s,ekf_bz_rad_s,failsafe_active,angular_velocity_invalid,position_sample,injected_bias_sample,ekf_bias_sample,vehicle_status_sample,failsafe_flags_sample
1764835939900000,-10.000000,47.39683890,8.54675050,523.536011,109.9028,-190.3108,219.7663,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,0,0,0,0,0
1764835939956000,-9.944000,47.39683880,8.54675020,523.817017,109.8802,-190.3220,219.7646,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940060000,-9.840000,47.39683890,8.54675010,524.143005,109.8727,-190.3108,219.7512,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940148000,-9.752000,47.39683890,8.54675010,524.143005,109.8727,-190.3108,219.7512,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,0,0,0,1,1
1764835940156000,-9.744000,47.39683900,8.54675010,524.421021,109.8727,-190.2997,219.7416,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940260000,-9.640000,47.39683890,8.54674990,524.726013,109.8576,-190.3108,219.7437,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940356000,-9.544000,47.39683900,8.54674990,525.036987,109.8576,-190.2997,219.7341,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940460000,-9.440000,47.39683900,8.54674980,525.351990,109.8501,-190.2997,219.7303,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940556000,-9.344000,47.39683900,8.54674990,525.627991,109.8576,-190.2997,219.7341,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940652000,-9.248000,47.39683900,8.54674990,525.627991,109.8576,-190.2997,219.7341,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,0,0,0,1,0
1764835940660000,-9.240000,47.39683910,8.54674970,525.921021,109.8426,-190.2886,219.7169,0,0.000000,0.000000,0.000000,0.000014,-0.000056,0.000008,0,0,1,0,0,0,0
1764835940668000,-9.232000,47.39683910,8.54674970,525.921021,109.8426,-190.2886,219.7169,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,0,0,1,0,0
1764835940688000,-9.212000,47.39683910,8.54674970,525.921021,109.8426,-190.2886,219.7169,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,0,0,0,0,1
1764835940756000,-9.144000,47.39683920,8.54674960,526.206970,109.8350,-190.2775,219.7035,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,1,0,0,0,0
1764835940860000,-9.040000,47.39683910,8.54674960,526.526978,109.8350,-190.2886,219.7132,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,1,0,0,0,0
1764835940956000,-8.944000,47.39683900,8.54674940,526.820984,109.8200,-190.2997,219.7153,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,1,0,0,0,0
1764835941060000,-8.840000,47.39683910,8.54674960,527.124023,109.8350,-190.2886,219.7132,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,1,0,0,0,0
1764835941156000,-8.744000,47.39683900,8.54674960,527.413025,109.8350,-190.2997,219.7228,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,1,0,0,1,0
1764835941228000,-8.672000,47.39683900,8.54674960,527.413025,109.8350,-190.2997,219.7228,0,0.000000,0.000000,0.000000,0.000026,-0.000053,0.000012,0,0,0,0,0,0,1
