timestamp_us,t_rel_s,lat,lon,alt_m,x_m,y_m,dist_target_m,reached_target,injected_bx_rad_s,injected_by_rad_s,injected_bz_rad_s,ekf_bx_rad_s,ekf_by_rad_s,ekf_bz_rad_s,failsafe_active,angular_velocity_invalid,position_sample,injected_bias_sample,ekf_bias_sample,vehicle_status_sample,failsafe_flags_sample
1764836761362000,-10.000000,47.39756250,8.54276150,523.575989,-190.3383,-109.8502,219.7644,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,0,0,0,0,0
1764836761442000,-9.920000,47.39756260,8.54276160,523.875000,-190.3307,-109.8391,219.7523,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,1,0,0,0,0
1764836761538000,-9.824000,47.39756250,8.54276130,524.177002,-190.3533,-109.8502,219.7775,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,1,0,0,0,0
1764836761610000,-9.752000,47.39756250,8.54276130,524.177002,-190.3533,-109.8502,219.7775,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,0,0,0,1,1
1764836761642000,-9.720000,47.39756260,8.54276130,524.489990,-190.3533,-109.8391,219.7719,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,1,0,0,0,0
1764836761738000,-9.624000,47.39756270,8.54276090,524.768005,-190.3834,-109.8279,219.7924,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,1,0,0,0,0
1764836761842000,-9.520000,47.39756260,8.54276120,525.072998,-190.3609,-109.8391,219.7784,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,1,0,0,0,0
1764836761938000,-9.424000,47.39756250,8.54276100,525.349976,-190.3759,-109.8502,219.7970,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,1,0,0,0,0
1764836762042000,-9.320000,47.39756230,8.54276110,525.666992,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,1,0,0,0,0
1764836762114000,-9.248000,47.39756230,8.54276110,525.666992,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,-0.000026,0.000099,0.000156,0,0,0,0,0,1,0
1764836762122000,-9.240000,47.39756230,8.54276110,525.666992,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,0,0,1,0,0
1764836762138000,-9.224000,47.39756240,8.54276100,525.953979,-190.3759,-109.8613,219.8026,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762150000,-9.212000,47.39756240,8.54276100,525.953979,-190.3759,-109.8613,219.8026,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,0,0,0,0,1
1764836762242000,-9.120000,47.39756230,8.54276090,526.273010,-190.3834,-109.8724,219.8147,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762338000,-9.024000,47.39756230,8.54276140,526.565002,-190.3458,-109.8724,219.7821,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762442000,-8.920000,47.39756230,8.54276110,526.853027,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762538000,-8.824000,47.39756240,8.54276120,527.156982,-190.3609,-109.8613,219.7895,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762618000,-8.744000,47.39756240,8.54276120,527.156982,-190.3609,-109.8613,219.7895,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,0,0,0,1,0
1764836762642000,-8.720000,47.39756240,8.54276120,527.473022,-190.3609,-109.8613,219.7895,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762690000,-8.672000,47.39756240,8.54276120,527.473022,-190.3609,-109.8613,219.7895,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,0,0,0,0,1
1764836762738000,-8.624000,47.39756230,8.54276130,527.731018,-190.3533,-109.8724,219.7886,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762842000,-8.520000,47.39756230,8.54276120,528.020996,-190.3609,-109.8724,219.7951,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836762938000,-8.424000,47.39756240,8.54276100,528.330017,-190.3759,-109.8613,219.8026,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836763042000,-8.320000,47.39756250,8.54276120,528.630981,-190.3609,-109.8502,219.7840,0,0.000000,0.000000,0.000000,-0.000012,0.000110,0.000156,0,0,1,0,0,0,0
1764836763122000,-8.240000,47.39756250,8.54276120,528.630981,-190.3609,-109.8502,219.7840,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,0,0,1,1,0
1764836763138000,-8.224000,47.39756230,8.54276110,528.906006,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763230000,-8.132000,47.39756230,8.54276110,528.906006,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,0,0,0,0,1
1764836763242000,-8.120000,47.39756240,8.54276130,529.224976,-190.3533,-109.8613,219.7830,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763338000,-8.024000,47.39756230,8.54276110,529.505005,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763442000,-7.920000,47.39756230,8.54276120,529.825989,-190.3609,-109.8724,219.7951,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763538000,-7.824000,47.39756230,8.54276110,530.106995,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763626000,-7.736000,47.39756230,8.54276110,530.106995,-190.3684,-109.8724,219.8016,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,0,0,0,1,0
1764836763642000,-7.720000,47.39756220,8.54276110,530.422974,-190.3684,-109.8835,219.8072,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763738000,-7.624000,47.39756230,8.54276150,530.690979,-190.3383,-109.8724,219.7755,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763770000,-7.592000,47.39756230,8.54276150,530.690979,-190.3383,-109.8724,219.7755,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,0,0,0,0,1
1764836763842000,-7.520000,47.39756240,8.54276140,530.987976,-190.3458,-109.8613,219.7765,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836763938000,-7.424000,47.39756230,8.54276150,531.270020,-190.3383,-109.8724,219.7755,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836764042000,-7.320000,47.39756220,8.54276150,531.567017,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000000,0.000120,0.000154,0,0,1,0,0,0,0
1764836764122000,-7.240000,47.39756220,8.54276150,531.567017,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,0,0,1,0,0
1764836764130000,-7.232000,47.39756220,8.54276150,531.567017,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,0,0,0,1,0
1764836764138000,-7.224000,47.39756210,8.54276150,531.844971,-190.3383,-109.8947,219.7867,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764242000,-7.120000,47.39756240,8.54276150,532.161987,-190.3383,-109.8613,219.7700,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764310000,-7.052000,47.39756240,8.54276150,532.161987,-190.3383,-109.8613,219.7700,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,0,0,0,0,1
1764836764338000,-7.024000,47.39756210,8.54276150,532.453979,-190.3383,-109.8947,219.7867,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764442000,-6.920000,47.39756210,8.54276130,532.767029,-190.3533,-109.8947,219.7997,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764538000,-6.824000,47.39756220,8.54276150,533.034973,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764634000,-6.728000,47.39756220,8.54276150,533.034973,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,0,0,0,1,0
1764836764642000,-6.720000,47.39756220,8.54276180,533.359009,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764738000,-6.624000,47.39756240,8.54276170,533.638977,-190.3232,-109.8613,219.7569,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764842000,-6.520000,47.39756220,8.54276180,533.948975,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836764850000,-6.512000,47.39756220,8.54276180,533.948975,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,0,0,0,0,1
1764836764938000,-6.424000,47.39756230,8.54276190,534.226990,-190.3082,-109.8724,219.7495,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836765042000,-6.320000,47.39756220,8.54276180,534.526978,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000012,0.000128,0.000156,0,0,1,0,0,0,0
1764836765122000,-6.240000,47.39756220,8.54276180,534.526978,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,0,0,1,0,0
1764836765138000,-6.224000,47.39756210,8.54276180,534.820007,-190.3157,-109.8947,219.7671,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,1,0
1764836765242000,-6.120000,47.39756220,8.54276180,535.111023,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836765338000,-6.024000,47.39756220,8.54276170,535.395020,-190.3232,-109.8835,219.7681,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836765390000,-5.972000,47.39756220,8.54276170,535.395020,-190.3232,-109.8835,219.7681,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,0,0,0,0,1
1764836765442000,-5.920000,47.39756220,8.54276210,535.716980,-190.2931,-109.8835,219.7420,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836765538000,-5.824000,47.39756220,8.54276210,536.020020,-190.2931,-109.8835,219.7420,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836765642000,-5.720000,47.39756230,8.54276190,536.328003,-190.3082,-109.8724,219.7495,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,1,0
1764836765738000,-5.624000,47.39756230,8.54276210,536.619995,-190.2931,-109.8724,219.7364,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836765842000,-5.520000,47.39756230,8.54276210,536.927979,-190.2931,-109.8724,219.7364,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836765930000,-5.432000,47.39756230,8.54276210,536.927979,-190.2931,-109.8724,219.7364,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,0,0,0,0,1
1764836765938000,-5.424000,47.39756240,8.54276180,537.213013,-190.3157,-109.8613,219.7504,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836766042000,-5.320000,47.39756220,8.54276180,537.520020,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000019,0.000129,0.000160,0,0,1,0,0,0,0
1764836766122000,-5.240000,47.39756220,8.54276180,537.520020,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,0,0,1,0,0
1764836766138000,-5.224000,47.39756230,8.54276180,537.814026,-190.3157,-109.8724,219.7560,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766146000,-5.216000,47.39756230,8.54276180,537.814026,-190.3157,-109.8724,219.7560,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,0,0,0,1,0
1764836766242000,-5.120000,47.39756240,8.54276200,538.120972,-190.3006,-109.8613,219.7374,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766338000,-5.024000,47.39756240,8.54276200,538.416016,-190.3006,-109.8613,219.7374,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766442000,-4.920000,47.39756220,8.54276200,538.706970,-190.3006,-109.8835,219.7485,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766470000,-4.892000,47.39756220,8.54276200,538.706970,-190.3006,-109.8835,219.7485,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,0,0,0,0,1
1764836766538000,-4.824000,47.39756220,8.54276180,538.984985,-190.3157,-109.8835,219.7615,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766642000,-4.720000,47.39756230,8.54276170,539.302979,-190.3232,-109.8724,219.7625,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766650000,-4.712000,47.39756230,8.54276170,539.302979,-190.3232,-109.8724,219.7625,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,0,0,0,1,0
1764836766738000,-4.624000,47.39756240,8.54276190,539.588989,-190.3082,-109.8613,219.7439,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766842000,-4.520000,47.39756240,8.54276180,539.900024,-190.3157,-109.8613,219.7504,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836766938000,-4.424000,47.39756240,8.54276170,540.182007,-190.3232,-109.8613,219.7569,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836767010000,-4.352000,47.39756240,8.54276170,540.182007,-190.3232,-109.8613,219.7569,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,0,0,0,0,1
1764836767042000,-4.320000,47.39756230,8.54276200,540.482971,-190.3006,-109.8724,219.7429,0,0.000000,0.000000,0.000000,0.000022,0.000128,0.000157,0,0,1,0,0,0,0
1764836767122000,-4.240000,47.39756230,8.54276200,540.482971,-190.3006,-109.8724,219.7429,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,0,0,1,0,0
1764836767138000,-4.224000,47.39756240,8.54276190,540.784973,-190.3082,-109.8613,219.7439,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767154000,-4.208000,47.39756240,8.54276190,540.784973,-190.3082,-109.8613,219.7439,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,0,0,0,1,0
1764836767242000,-4.120000,47.39756240,8.54276200,541.114990,-190.3006,-109.8613,219.7374,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767338000,-4.024000,47.39756240,8.54276190,541.406006,-190.3082,-109.8613,219.7439,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767442000,-3.920000,47.39756250,8.54276200,541.708984,-190.3006,-109.8502,219.7318,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767538000,-3.824000,47.39756230,8.54276190,541.971008,-190.3082,-109.8724,219.7495,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767550000,-3.812000,47.39756230,8.54276190,541.971008,-190.3082,-109.8724,219.7495,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,0,0,0,0,1
1764836767642000,-3.720000,47.39756230,8.54276190,542.275024,-190.3082,-109.8724,219.7495,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767658000,-3.704000,47.39756230,8.54276190,542.275024,-190.3082,-109.8724,219.7495,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,0,0,0,1,0
1764836767738000,-3.624000,47.39756230,8.54276170,542.508972,-190.3232,-109.8724,219.7625,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767842000,-3.520000,47.39756240,8.54276200,542.796997,-190.3006,-109.8613,219.7374,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836767938000,-3.424000,47.39756240,8.54276210,543.049011,-190.2931,-109.8613,219.7309,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836768042000,-3.320000,47.39756250,8.54276210,543.294006,-190.2931,-109.8502,219.7253,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,1,0,0,0,0
1764836768090000,-3.272000,47.39756250,8.54276210,543.294006,-190.2931,-109.8502,219.7253,0,0.000000,0.000000,0.000000,0.000031,0.000130,0.000154,0,0,0,0,0,0,1
1764836768122000,-3.240000,47.39756250,8.54276210,543.294006,-190.2931,-109.8502,219.7253,0,0.000000,0.000000,0.000000,0.000045,0.000123,0.000152,0,0,0,0,1,0,0
1764836768138000,-3.224000,47.39756240,8.54276200,543.523010,-190.3006,-109.8613,219.7374,0,0.000000,0.000000,0.000000,0.000045,0.000123,0.000152,0,0,1,0,0,0,0
1764836768162000,-3.200000,47.39756240,8.54276200,543.523010,-190.3006,-109.8613,219.7374,0,0.000000,0.000000,0.000000,0.000045,0.000123,0.000152,0,0,0,0,0,1,0
1764836768242000,-3.120000,47.39756230,8.54276160,543.752991,-190.3307,-109.8724,219.7690,0,0.000000,0.000000,0.000000,0.000045,0.000123,0.000152,0,0,1,0,0,0,0
1764836768338000,-3.024000,47.39756210,8.54276180,543.942993,-190.3157,-109.8947,219.7671,0,0.000000,0.000000,0.000000,0.000045,0.000123,0.000152,0,0,1,0,0,0,0
1764836768442000,-2.920000,47.39756230,8.54276160,544.146973,-190.3307,-109.8724,219.7690,0,0.000000,0.000000,0.000000,0.000045,0.000123,0.000152,0,0,1,0,0,0,0
1764836768490000,-2.872000,47.39756230,8.54276160,544.146973,-190.3307,-109.8724,219.7690,0,0.000000,0.000000,0.000000,0.000049,0.000122,0.000151,0,0,0,0,1,0,0
1764836768538000,-2.824000,47.39756240,8.54276160,544.330017,-190.3307,-109.8613,219.7635,0,0.000000,0.000000,0.000000,0.000049,0.000122,0.000151,0,0,1,0,0,0,0
1764836768630000,-2.732000,47.39756240,8.54276160,544.330017,-190.3307,-109.8613,219.7635,0,0.000000,0.000000,0.000000,0.000049,0.000122,0.000151,0,0,0,0,0,0,1
1764836768642000,-2.720000,47.39756230,8.54276170,544.520020,-190.3232,-109.8724,219.7625,0,0.000000,0.000000,0.000000,0.000049,0.000122,0.000151,0,0,1,0,0,0,0
1764836768666000,-2.696000,47.39756230,8.54276170,544.520020,-190.3232,-109.8724,219.7625,0,0.000000,0.000000,0.000000,0.000049,0.000122,0.000151,0,0,0,0,0,1,0
1764836768698000,-2.664000,47.39756230,8.54276170,544.520020,-190.3232,-109.8724,219.7625,0,0.000000,0.000000,0.000000,0.000052,0.000120,0.000151,0,0,0,0,1,0,0
1764836768738000,-2.624000,47.39756230,8.54276170,544.690002,-190.3232,-109.8724,219.7625,0,0.000000,0.000000,0.000000,0.000052,0.000120,0.000151,0,0,1,0,0,0,0
1764836768842000,-2.520000,47.39756220,8.54276150,544.857971,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000052,0.000120,0.000151,0,0,1,0,0,0,0
1764836768906000,-2.456000,47.39756220,8.54276150,544.857971,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000055,0.000119,0.000151,0,0,0,0,1,0,0
1764836768938000,-2.424000,47.39756220,8.54276150,545.007019,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000055,0.000119,0.000151,0,0,1,0,0,0,0
1764836769042000,-2.320000,47.39756220,8.54276140,545.172974,-190.3458,-109.8835,219.7876,0,0.000000,0.000000,0.000000,0.000055,0.000119,0.000151,0,0,1,0,0,0,0
1764836769138000,-2.224000,47.39756220,8.54276150,545.304016,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000055,0.000119,0.000151,0,0,1,0,0,0,0
1764836769146000,-2.216000,47.39756220,8.54276150,545.304016,-190.3383,-109.8835,219.7811,0,0.000000,0.000000,0.000000,0.000059,0.000118,0.000149,0,0,0,0,1,0,0
