timestamp_us,t_rel_s,lat,lon,alt_m,x_m,y_m,dist_target_m,reached_target,injected_bx_rad_s,injected_by_rad_s,injected_bz_rad_s,ekf_bx_rad_s,ekf_by_rad_s,ekf_bz_rad_s,failsafe_active,angular_velocity_invalid,position_sample,injected_bias_sample,ekf_bias_sample,vehicle_status_sample,failsafe_flags_sample
1764837244301000,-10.000000,47.39657450,8.54528990,523.580994,-0.0326,-219.7108,219.7108,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,0,0,0,0,0
1764837244333000,-9.968000,47.39657450,8.54528990,523.869019,-0.0326,-219.7108,219.7108,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
1764837244437000,-9.864000,47.39657450,8.54528980,524.169983,-0.0401,-219.7108,219.7108,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
1764837244457000,-9.844000,47.39657450,8.54528980,524.169983,-0.0401,-219.7108,219.7108,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,0,0,0,1,1
1764837244533000,-9.768000,47.39657440,8.54528980,524.453979,-0.0401,-219.7219,219.7219,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
1764837244637000,-9.664000,47.39657430,8.54528970,524.767029,-0.0476,-219.7330,219.7330,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
1764837244733000,-9.568000,47.39657440,8.54529000,525.044983,-0.0250,-219.7219,219.7219,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
1764837244837000,-9.464000,47.39657430,8.54528990,525.346985,-0.0326,-219.7330,219.7330,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
1764837244933000,-9.368000,47.39657440,8.54528980,525.642029,-0.0401,-219.7219,219.7219,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
1764837244961000,-9.340000,47.39657440,8.54528980,525.642029,-0.0401,-219.7219,219.7219,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,0,0,0,1,0
1764837244997000,-9.304000,47.39657440,8.54528980,525.642029,-0.0401,-219.7219,219.7219,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,0,0,0,0,1
1764837245037000,-9.264000,47.39657440,8.54528990,525.939026,-0.0326,-219.7219,219.7219,0,0.000000,0.000000,0.000000,0.000689,0.000329,0.000092,0,0,1,0,0,0,0
